# 982 Renju five-move openings, ascending 1-blackActual-whiteActual.
# GTP coordinates: column I is skipped; black moves first. See README.md.
# Source: renju500k_ratio_0.5_to_2_sorted_by_drawrate.csv; strict 0.5 < B/W < 2.
# B(+8) and W(-8) are independent 500k evaluations; inferred D can be negative.
15 F11 G13 C11 H9 B8 # opening-42924 B=0.154522975 W=0.272648420 D=0.572828605
15 K5 K6 J7 J4 L4 # opening-13198 B=0.221340630 W=0.204903980 D=0.573755389
15 O7 E7 K6 K5 L3 # opening-17466 B=0.236091134 W=0.179298397 D=0.584610469
15 D14 C14 C13 F3 C12 # opening-49543 B=0.268462210 W=0.145251654 D=0.586286136
15 K8 M6 O7 N7 L5 # opening-7691 B=0.243506930 W=0.169272546 D=0.587220523
15 B12 B13 C10 A14 A13 # opening-24010 B=0.268609328 W=0.142956766 D=0.588433905
15 D5 C7 G2 D2 C6 # opening-18857 B=0.248321098 W=0.162688971 D=0.588989931
15 O5 P6 O7 O6 N8 # opening-4273 B=0.265929286 W=0.144511957 D=0.589558756
15 D7 E7 E5 E4 E6 # opening-25050 B=0.144131934 W=0.264773221 D=0.591094845
15 E7 E8 E10 E6 F6 # opening-42169 B=0.160994848 W=0.247828538 D=0.591176614
15 J5 K4 K5 K6 J6 # opening-3180 B=0.262758791 W=0.145917965 D=0.591323244
15 C4 D4 C5 B4 C2 # opening-46921 B=0.214066035 W=0.193998554 D=0.591935411
15 D2 D1 D3 B1 C1 # opening-33145 B=0.243413909 W=0.163085427 D=0.593500664
15 A5 A4 D5 B4 C3 # opening-2365 B=0.151332330 W=0.254010468 D=0.594657202
15 H12 G12 G13 G11 G9 # opening-18819 B=0.217235713 W=0.187714931 D=0.595049356
15 M14 M12 M11 L14 L12 # opening-41022 B=0.176969821 W=0.226705819 D=0.596324359
15 B12 K13 J12 O14 L10 # opening-14011 B=0.208491206 W=0.191742018 D=0.599766776
15 O4 O3 N4 O5 M4 # opening-30833 B=0.207738850 W=0.192212909 D=0.600048241
15 N3 O4 N4 P4 P6 # opening-9320 B=0.194525259 W=0.204038558 D=0.601436183
15 C5 A6 B3 E6 C6 # opening-25519 B=0.134608882 W=0.262712758 D=0.602678359
15 J5 K4 K5 K6 M5 # opening-4706 B=0.231915297 W=0.163719989 D=0.604364714
15 C6 B6 B5 B4 C3 # opening-24258 B=0.138477128 W=0.257102097 D=0.604420776
15 K5 O5 N4 J5 M5 # opening-2490 B=0.212870916 W=0.182357321 D=0.604771763
15 P2 O4 L4 O2 J3 # opening-32780 B=0.181618595 W=0.213394684 D=0.604986721
15 K15 L15 M14 J15 M13 # opening-46745 B=0.136630637 W=0.257407419 D=0.605961944
15 L6 L7 L5 N6 L8 # opening-34232 B=0.237807349 W=0.155437666 D=0.606754985
15 O11 M12 N12 M14 K11 # opening-13975 B=0.208990312 W=0.183631313 D=0.607378375
15 N7 O8 O7 P6 O9 # opening-38815 B=0.132162616 W=0.260306234 D=0.607531150
15 C3 D3 B3 A3 D7 # opening-41923 B=0.140277452 W=0.249324460 D=0.610398089
15 J6 H5 F6 J5 G5 # opening-6569 B=0.199435187 W=0.188603501 D=0.611961312
15 E13 D12 F13 D9 J11 # opening-17083 B=0.240172664 W=0.144860716 D=0.614966620
15 C1 D1 C2 C3 E6 # opening-35935 B=0.144651415 W=0.239551994 D=0.615796591
15 N12 N11 L8 L9 M9 # opening-0384 B=0.140505591 W=0.243413025 D=0.616081383
15 P2 N1 J2 O3 N5 # opening-5047 B=0.228457201 W=0.155458184 D=0.616084615
15 F11 E12 E13 E11 D12 # opening-16924 B=0.253945005 W=0.128661583 D=0.617393412
15 E12 D12 E11 E10 F10 # opening-20285 B=0.223684100 W=0.158557115 D=0.617758785
